1,New York,123456789,987654321,150,50
2,Los Angeles,234567890,876543210,200,70
3,Chicago,345678901,765432109,180,60
4,Houston,456789012,654321098,120,40
5,Phoenix,567890123,543210987,140,45
6,Philadelphia,678901234,432109876,160,55
7,San Antonio,789012345,321098765,170,65
8,San Diego,890123456,210987654,110,35
9,Dallas,901234567,109876543,190,75
10,San Jose,012345678,098765432,130,50
11,Austin,123456780,987654321,160,60
12,Jacksonville,234567891,876543210,140,55
13,Fort Worth,345678902,765432109,150,50
14,Columbus,456789013,654321098,180,65
15,San Francisco,567890124,543210987,200,80
16,Indianapolis,678901235,432109876,120,45
17,Seattle,789012346,321098765,170,75
18,Denver,890123457,210987654,160,60
19,Washington,901234568,109876543,150,55
20,Boston,012345679,098765432,140,50
21,El Paso,123456791,987654321,130,40
22,Nashville,234567892,876543210,160,55
23,Detroit,345678903,765432109,180,60
24,Oklahoma City,456789014,654321098,200,75
25,Portland,567890125,543210987,120,35
26,Las Vegas,678901236,432109876,150,50
27,Memphis,789012347,321098765,140,45
28,Louisville,890123458,210987654,170,65
29,Baltimore,901234569,109876543,180,70
30,Milwaukee,012345670,098765432,190,75
31,Albuquerque,123456792,987654321,160,50
32,Tucson,234567893,876543210,120,40
33,Fresno,345678904,765432109,200,80
34,Sacramento,456789015,654321098,140,50
35,Long Beach,567890126,543210987,130,45
36,Kansas City,678901237,432109876,170,60
37,Mesa,789012348,321098765,150,55
38,Virginia Beach,890123459,210987654,160,65
39,Atlanta,901234570,109876543,180,70
40,Colorado Springs,012345671,098765432,190,75
41,Omaha,123456793,987654321,120,35
42,Raleigh,234567894,876543210,160,60
43,Miami,345678905,765432109,140,50
44,Cleveland,456789016,654321098,130,40
45,Tulsa,567890127,543210987,170,65
46,Oakland,678901238,432109876,150,55
47,Minneapolis,789012349,321098765,180,70
48,Wichita,890123460,210987654,200,75
49,New Orleans,901234571,109876543,160,60
50,Arlington,012345672,098765432,140,50
